File,Clear Centroid,Clear Mean,Wiener Centroid,Wiener Mean,Lib Wiener Centroid,Lib Wiener Mean,Noised Centroid,Noised Mean
70.wav,1141.7954216582004,0.00093615113,854.1696235323942,0.00016554898,1270.3515143007942,0.0010312898,1268.4015857559903,0.0010101531
71.wav,588.1113205656545,0.0007883679,1090.2606030111106,0.0005552827,2436.677332034757,0.008589108,2436.638677321935,0.008551187
72.wav,564.495431416003,0.0006047093,602.2457149757228,0.00013048973,1310.3398741788449,0.0015420566,1308.9372708292428,0.0015280113
73.wav,747.6316856424141,5.241477e-05,966.1624431751006,0.0005380599,1578.5769905111592,0.0033651295,1576.849238750836,0.0033297206
74.wav,1317.857691493883,0.000424892,1054.5841302858873,0.0005607374,2316.462647559487,0.008611345,2311.0416571931933,0.008539683
75.wav,437.03999962835286,6.848379e-05,690.0212235366625,0.00019463035,1327.7063774558019,0.0021291182,1326.4289138502502,0.0021005578
76.wav,746.8574306503365,0.00016125897,602.9517781870675,0.00010663308,1256.8398908490576,0.0014880238,1255.9830132771447,0.001483054
77.wav,1779.2094149843017,0.0004470264,1395.1295392215277,0.004490655,1847.703478065879,0.021659471,1843.8063149764935,0.021471487
78.wav,864.8654908650411,0.00050699833,1068.3651564143913,0.0009936948,1908.9418387441845,0.005841683,1902.041697506498,0.0054427753
79.wav,895.4901583273473,0.0003275511,504.14709174209446,6.9011156e-05,1330.2501254354127,0.001738304,1329.5277976524476,0.0017356754
8.wav,1280.1875390375194,0.06478055,1985.363092392512,0.007435624,2817.4874463631268,0.03370712,2811.8944190186326,0.033469573
80.wav,464.05773130477337,6.9781876e-05,536.058261225368,0.00011219424,1363.0181100638085,0.0037129186,1357.265831840576,0.0036817573
81.wav,792.439364293138,0.00069614797,434.7718497098972,3.3066048e-05,774.2325966321831,0.00029596387,771.5336779377999,0.00028845982
82.wav,502.7512833718945,0.0003076924,747.0852094846168,0.00030465517,1501.3556091201615,0.0031769024,1496.0063445846552,0.0031080367
83.wav,1052.3262740733778,0.0011888583,687.7207904868867,0.00013708338,1521.3187304251933,0.002759237,1521.1949603017001,0.0027500035
84.wav,1092.188501420852,0.00087378436,963.5721713183901,0.00059340533,1565.2937953675962,0.0036984032,1561.9130703635205,0.0035857845
